"ArticleID";"ArticleName";"SKU";"EAN";"ProductName";"Archetype";"Gender";"CountryOfOrigin";"Color";"Size";"PrimeCost";"Filter_collar";"Fastener";"Fit";"Lining";"Material";"Season";"Style"
"620396859c382b004d73b1db";"undefined, Schwarz, L";"undefined-SCHWARZ-L";;;;"men";;;"L";;;"Front-Reißverschluss";"Regular-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Bomber Stil"
"616c5fae9c382b004d380ff5";"095 Skirt, Schwarz, 2XL";"95-SCHWARZ-2XL";"4260637853059";"095 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"2XL";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fae9c382b004d380ff1";"095 Skirt, Schwarz, L";"95-SCHWARZ-L";"4260637853035";"095 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"L";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fae9c382b004d380fef";"095 Skirt, Schwarz, M";"95-SCHWARZ-M";"4260637853028";"095 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"M";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fae9c382b004d380fed";"095 Skirt, Schwarz, S";"95-SCHWARZ-S";"4260637853011";"095 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"S";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fae9c382b004d380ff3";"095 Skirt, Schwarz, XL";"95-SCHWARZ-XL";"4260637853042";"095 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"XL";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fae9c382b004d380feb";"095 Skirt, Schwarz, XS";"95-SCHWARZ-XS";"4260637853004";"095 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"XS";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810bc";"0132 Skirt, Cognac Braun, 2XL";"132-COGNAC BRAUN-2XL";"4260752577953";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Cognac Braun";"2XL";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810b8";"0132 Skirt, Cognac Braun, L";"132-COGNAC BRAUN-L";"4260752577939";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Cognac Braun";"L";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810b6";"0132 Skirt, Cognac Braun, M";"132-COGNAC BRAUN-M";"4260752577922";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Cognac Braun";"M";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810b4";"0132 Skirt, Cognac Braun, S";"132-COGNAC BRAUN-S";"4260752577915";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Cognac Braun";"S";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810ba";"0132 Skirt, Cognac Braun, XL";"132-COGNAC BRAUN-XL";"4260752577946";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Cognac Braun";"XL";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810b2";"0132 Skirt, Cognac Braun, XS";"132-COGNAC BRAUN-XS";"4260752577908";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Cognac Braun";"XS";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810b0";"0132 Skirt, 2XL, Schwarz";"132-2XL-SCHWARZ";"4260356552660";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"2XL";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810ac";"0132 Skirt, L, Schwarz";"132-L-SCHWARZ";"4260356552646";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"L";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810aa";"0132 Skirt, M, Schwarz";"132-M-SCHWARZ";"4260356552639";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"M";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810a8";"0132 Skirt, S, Schwarz";"132-S-SCHWARZ";"4260356552622";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"S";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810ae";"0132 Skirt, XL, Schwarz";"132-XL-SCHWARZ";"4260356552653";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"XL";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5fb49c382b004d3810a6";"0132 Skirt, XS, Schwarz";"132-XS-SCHWARZ";"4260356552615";"0132 Skirt";"Damen-Lederrock";"women";"IN";"Schwarz";"XS";"23,00";;"Knopf und Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Ganzjahresartikel ";"Bleistiftrock"
"616c5ebd9c382b004d37df44";"275, 2XL, Cognac Braun";"275-2XL-COGNAC BRAUN";;"275";"Herren-Lederjacke";"men";"PK";"Cognac Braun";"2XL";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df46";"275, 3XL, Cognac Braun";"275-3XL-COGNAC BRAUN";;"275";"Herren-Lederjacke";"men";"PK";"Cognac Braun";"3XL";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df40";"275, L, Cognac Braun";"275-L-COGNAC BRAUN";;"275";"Herren-Lederjacke";"men";"PK";"Cognac Braun";"L";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df3e";"275, M, Cognac Braun";"275-M-COGNAC BRAUN";;"275";"Herren-Lederjacke";"men";"PK";"Cognac Braun";"M";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df3c";"275, S, Cognac Braun";"275-S-COGNAC BRAUN";;"275";"Herren-Lederjacke";"men";"PK";"Cognac Braun";"S";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df42";"275, XL, Cognac Braun";"275-XL-COGNAC BRAUN";;"275";"Herren-Lederjacke";"men";"PK";"Cognac Braun";"XL";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df38";"275, 2XL, Schwarz";"275-2XL-SCHWARZ";;"275";"Herren-Lederjacke";"men";"PK";"Schwarz";"2XL";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df3a";"275, 3XL, Schwarz";"275-3XL-SCHWARZ";;"275";"Herren-Lederjacke";"men";"PK";"Schwarz";"3XL";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df34";"275, L, Schwarz";"275-L-SCHWARZ";;"275";"Herren-Lederjacke";"men";"PK";"Schwarz";"L";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df32";"275, M, Schwarz";"275-M-SCHWARZ";;"275";"Herren-Lederjacke";"men";"PK";"Schwarz";"M";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df30";"275, S, Schwarz";"275-S-SCHWARZ";;"275";"Herren-Lederjacke";"men";"PK";"Schwarz";"S";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5ebd9c382b004d37df36";"275, XL, Schwarz";"275-XL-SCHWARZ";;"275";"Herren-Lederjacke";"men";"PK";"Schwarz";"XL";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Gesteppter Stil / Steppjacke"
"616c5d309c382b004d377047";"410, Braun, 2XL";"410-BRAUN-2XL";"4260356557450";"410";"Herren-Lederjacke";"men";"IN";"Braun";"2XL";;"Stehkragen mit Knopfverschluss";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Biker Stil"
"616c5d309c382b004d377049";"410, Braun, 3XL";"410-BRAUN-3XL";"4260356557467";"410";"Herren-Lederjacke";"men";"IN";"Braun";"3XL";;"Stehkragen mit Knopfverschluss";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Biker Stil"
"616c5d309c382b004d377043";"410, Braun, L";"410-BRAUN-L";"4260356557436";"410";"Herren-Lederjacke";"men";"IN";"Braun";"L";;"Stehkragen mit Knopfverschluss";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Biker Stil"
